"x"
"The Red Widget Group"
"Blue Widget Corp"
"Green Widget Machine"
"We Are Red Widgets"
"Blue Like Widgets"
"Lean Green Widgets"
"Red Widgets Unlimted"
"Blue Widgets Smiling"
"The Widget is Always Greener"
"The Red Fidget Group"
"Blue Fidget Corp"
"Green Fidget Machine"
"We Are Red Fidgets"
"Blue Like Fidgets"
"Lean Green Fidgets"
"Red Fidgets Unlimted"
"Blue Fidgets Smiling"
"The Fidget is Always Greener"
"The Red Zidget Group"
"Blue Zidget Corp"
"Green Zidget Machine"
"We Are Red Zidgets"
"Blue Like Zidgets"
"Lean Green Zidgets"
"Red Zidgets Unlimted"
"Blue Zidgets Smiling"
"The Zidget is Always Greener"
